Campanha,Fonte,Leads,Percentual_Campanha,Percentual_Fonte
Formulário meta ads - voucher Intermodal,Busca Paga | Facebook Ads,112,66.9,99
Formulário meta ads - voucher Intermodal,Desconhecido,1,66.9,1
LP sorteio Iphone Intermodal 2026,Tráfego Direto,20,17.2,69
LP sorteio Iphone Intermodal 2026,Desconhecido,7,17.2,24
LP sorteio Iphone Intermodal 2026,Referência,1,17.2,3
LP sorteio Iphone Intermodal 2026,Busca Paga | Facebook Ads,1,17.2,3
Intermodal SP 2026,Feiras e Eventos,5,3.0,100
Ebook RT - fluxo e-mail de interesse - vml Company,Busca Paga | meta,4,2.4,100
Site - WhatsApp vml company,Busca Paga | google,1,2.4,25
Site - WhatsApp vml company,Busca Paga | Google,1,2.4,25
Site - WhatsApp vml company,Busca Paga | meta,1,2.4,25
Site - WhatsApp vml company,Tráfego Direto,1,2.4,25
Contato pelo aplicativo Intermodal,Feiras e Eventos,4,2.4,100
LP voucher intermodal,Busca Paga | google,2,1.8,67
LP voucher intermodal,Busca Paga | meta,1,1.8,33
Campanha meta - Eficiência tributária,Busca Paga | Facebook Ads,3,1.8,100
Formulário meta - Auditoria de folha,Busca Paga | Facebook Ads,2,1.2,100
Formulário contato site vml company,Tráfego Direto,1,1.2,50
Formulário contato site vml company,Desconhecido,1,1.2,50
